geneset,go_id,gene
'De Novo' AMP Biosynthetic Process,GO:0044208,ATIC
'De Novo' AMP Biosynthetic Process,GO:0044208,PAICS
'De Novo' AMP Biosynthetic Process,GO:0044208,PFAS
'De Novo' AMP Biosynthetic Process,GO:0044208,ADSS1
'De Novo' AMP Biosynthetic Process,GO:0044208,ADSS2
'De Novo' AMP Biosynthetic Process,GO:0044208,GART
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT4
'De Novo' Post-Translational Protein Folding,GO:0051084,SDF2L1
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT3
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA9
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT2
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA6
'De Novo' Post-Translational Protein Folding,GO:0051084,ST13
'De Novo' Post-Translational Protein Folding,GO:0051084,ENTPD5
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA1L
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA5
'De Novo' Post-Translational Protein Folding,GO:0051084,PTGES3
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA8
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJB13
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA2
'De Novo' Post-Translational Protein Folding,GO:0051084,TCP1
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJB14
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPE1
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJC18
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT6A
'De Novo' Post-Translational Protein Folding,GO:0051084,GAK
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJC7
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJB12
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA1A
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA1B
'De Novo' Post-Translational Protein Folding,GO:0051084,ERO1A
'De Novo' Post-Translational Protein Folding,GO:0051084,SELENOF
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA14
'De Novo' Post-Translational Protein Folding,GO:0051084,HSPA13
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJB1
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJB5
'De Novo' Post-Translational Protein Folding,GO:0051084,DNAJB4
'De Novo' Post-Translational Protein Folding,GO:0051084,SDF2
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT8
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT7
'De Novo' Post-Translational Protein Folding,GO:0051084,UGGT1
'De Novo' Post-Translational Protein Folding,GO:0051084,CCT5
2-Oxoglutarate Metabolic Process,GO:0006103,IDH1
2-Oxoglutarate Metabolic Process,GO:0006103,PHYH
2-Oxoglutarate Metabolic Process,GO:0006103,GOT2
2-Oxoglutarate Metabolic Process,GO:0006103,IDH2
2-Oxoglutarate Metabolic Process,GO:0006103,ADHFE1
2-Oxoglutarate Metabolic Process,GO:0006103,GPT2
2-Oxoglutarate Metabolic Process,GO:0006103,DLST
