geneset,go_id,gene
9+0 Non-Motile Cilium,GO:0097731,IFTAP
9+0 Non-Motile Cilium,GO:0097731,CFAP96
9+0 Non-Motile Cilium,GO:0097731,PHYH
9+0 Non-Motile Cilium,GO:0097731,PEX6
9+0 Non-Motile Cilium,GO:0097731,TULP3
9+0 Non-Motile Cilium,GO:0097731,USH1G
9+0 Non-Motile Cilium,GO:0097731,C1ORF115
9+0 Non-Motile Cilium,GO:0097731,DYNLL2
9+2 Motile Cilium,GO:0097729,DYNC2H1
9+2 Motile Cilium,GO:0097729,CFAP74
9+2 Motile Cilium,GO:0097729,TCP11X2
9+2 Motile Cilium,GO:0097729,CFAP70
9+2 Motile Cilium,GO:0097729,RSPH6A
9+2 Motile Cilium,GO:0097729,TCP11X1
9+2 Motile Cilium,GO:0097729,DNAJB13
9+2 Motile Cilium,GO:0097729,ATP1B3
9+2 Motile Cilium,GO:0097729,ATP1B1
9+2 Motile Cilium,GO:0097729,ENKUR
9+2 Motile Cilium,GO:0097729,CFAP144
9+2 Motile Cilium,GO:0097729,IFT88
9+2 Motile Cilium,GO:0097729,FLACC1
9+2 Motile Cilium,GO:0097729,CFAP141
9+2 Motile Cilium,GO:0097729,CFAP77
9+2 Motile Cilium,GO:0097729,SPATA19
9+2 Motile Cilium,GO:0097729,CCDC146
9+2 Motile Cilium,GO:0097729,MROH2B
9+2 Motile Cilium,GO:0097729,CLXN
9+2 Motile Cilium,GO:0097729,ATP1A4
9+2 Motile Cilium,GO:0097729,AKAP4
9+2 Motile Cilium,GO:0097729,CFAP126
9+2 Motile Cilium,GO:0097729,CFAP251
9+2 Motile Cilium,GO:0097729,TEKT1
9+2 Motile Cilium,GO:0097729,TEKT2
9+2 Motile Cilium,GO:0097729,TEKT3
9+2 Motile Cilium,GO:0097729,TEKT4
9+2 Motile Cilium,GO:0097729,TEKT5
9+2 Motile Cilium,GO:0097729,RIBC2
9+2 Motile Cilium,GO:0097729,RIBC1
