geneset,go_id,gene
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,LPGAT1
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,MBOAT7
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,TAFAZZIN
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,LPCAT2
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,MBOAT2
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,LPCAT1
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,AGPAT1
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,AGPAT2
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,CRLS1
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,LCLAT1
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,AGPAT3
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,AGPAT4
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,AGPAT5
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,MBOAT1
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,LPCAT4
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,LPCAT3
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,GPAT2
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,GPAT4
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,GPAT3
1-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0003841,PNPLA3
1-Acylglycerophosphocholine O-acyltransferase Activity,GO:0047184,PRDX5
1-Acylglycerophosphocholine O-acyltransferase Activity,GO:0047184,TAFAZZIN
1-Acylglycerophosphocholine O-acyltransferase Activity,GO:0047184,LPCAT4
1-Acylglycerophosphocholine O-acyltransferase Activity,GO:0047184,LPCAT3
1-Acylglycerophosphocholine O-acyltransferase Activity,GO:0047184,LPCAT2
1-Acylglycerophosphocholine O-acyltransferase Activity,GO:0047184,MBOAT2
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,GO:0003847,PLA2G10
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,GO:0003847,PLA2G6
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,GO:0003847,PLA2G7
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,GO:0003847,PAFAH2
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,GO:0003847,PAFAH1B3
1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity,GO:0003847,PAFAH1B2
1-Phosphatidylinositol Binding,GO:0005545,EPB41
1-Phosphatidylinositol Binding,GO:0005545,ZFYVE9
1-Phosphatidylinositol Binding,GO:0005545,FRMPD2
1-Phosphatidylinositol Binding,GO:0005545,SESTD1
1-Phosphatidylinositol Binding,GO:0005545,ZFYVE1
1-Phosphatidylinositol Binding,GO:0005545,SNAP91
1-Phosphatidylinositol Binding,GO:0005545,SNX10
1-Phosphatidylinositol Binding,GO:0005545,PICALM
1-Phosphatidylinositol Binding,GO:0005545,SCIN
1-Phosphatidylinositol Binding,GO:0005545,ZFYVE16
1-Phosphatidylinositol Binding,GO:0005545,WDFY1
1-Phosphatidylinositol Binding,GO:0005545,WDFY3
1-Phosphatidylinositol Binding,GO:0005545,SNX9
1-Phosphatidylinositol Binding,GO:0005545,SCARB1
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3CB
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3CA
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,CLSTN1
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3R3
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3C2G
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3C3
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3C2B
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3C2A
1-Phosphatidylinositol-3-Kinase Activity,GO:0016303,PIK3CG
1-Phosphatidylinositol-3-Kinase Regulator Activity,GO:0046935,PIK3R1
1-Phosphatidylinositol-3-Kinase Regulator Activity,GO:0046935,PIK3R5
1-Phosphatidylinositol-3-Kinase Regulator Activity,GO:0046935,PIK3R3
1-Phosphatidylinositol-3-Kinase Regulator Activity,GO:0046935,PIK3R2
1-Phosphatidylinositol-3-Kinase Regulator Activity,GO:0046935,PIK3R6
"1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity",GO:0046934,PIK3CB
"1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity",GO:0046934,PIK3CA
"1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity",GO:0046934,PIK3C2A
"1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity",GO:0046934,PIK3CG
"1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity",GO:0046934,PIK3R6
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,GO:0035005,PIK3CB
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,GO:0035005,PIK3CA
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,GO:0035005,PIK3C2G
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,GO:0035005,PIK3C2B
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,GO:0035005,PIK3C2A
1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity,GO:0035005,PIK3CG
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP5KL1
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP4K2A
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP5K1A
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP4K2B
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP5K1B
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP4K2C
1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity,GO:0016308,PIP5K1C
11-Cis Retinal Binding,GO:0005502,OPN3
11-Cis Retinal Binding,GO:0005502,OPN5
11-Cis Retinal Binding,GO:0005502,CYP27C1
11-Cis Retinal Binding,GO:0005502,OPN4
11-Cis Retinal Binding,GO:0005502,RHOD
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,ISCA2
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,ISCA1
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,RFESD
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,CISD2
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,CISD3
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,CISD1
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,SDHB
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,SLC25A39
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,FDX1
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,NFU1
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,ISCU
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,CIAPIN1
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,FXN
"2 Iron, 2 Sulfur Cluster Binding",GO:0051537,XDH
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,LPGAT1
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,MBOAT7
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,LPCAT4
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,LPCAT3
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,LPCAT2
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,MBOAT2
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,LPCAT1
2-Acylglycerol-3-Phosphate O-acyltransferase Activity,GO:0047144,MBOAT1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,EGLN2
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,JMJD4
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM4A
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,EGLN1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM4B
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM2A
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM4C
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,EGLN3
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM2B
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM4D
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,PHYH
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM4E
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,TYW5
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,BBOX1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,TET3
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,TET2
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,TET1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,TMLHE
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,HSPBAP1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,JMJD6
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,JMJD7
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,RIOX2
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,RIOX1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM7A
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM5A
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM5B
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM8
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,FTO
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM3A
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM5C
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM5D
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,PHF2
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,PHF8
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,ALKBH4
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,PHYHD1
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,ALKBH3
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,ALKBH5
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,ALKBH2
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,UTY
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,P4HTM
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM6A
2-Oxoglutarate-Dependent Dioxygenase Activity,GO:0016706,KDM6B
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE1C
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE1B
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE1A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE4D
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE11A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE2A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE3B
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE4C
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE3A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE4B
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE4A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE6C
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE5A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE6B
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE6A
"3',5'-cyclic-AMP Phosphodiesterase Activity",GO:0004115,PDE7B
