source,relation,target,target_name
GO:0000001,is_a,GO:0048308,organelle inheritance
GO:0000001,is_a,GO:0048311,mitochondrion distribution
GO:0000002,is_a,GO:0007005,mitochondrion organization
GO:0000006,is_a,GO:0005385,zinc ion transmembrane transporter activity
GO:0000007,is_a,GO:0005385,zinc ion transmembrane transporter activity
GO:0000009,is_a,GO:0000030,mannosyltransferase activity
GO:0000010,is_a,GO:0120531,prenyl diphosphate synthase activity
GO:0000011,is_a,GO:0007033,vacuole organization
GO:0000011,is_a,GO:0048308,organelle inheritance
GO:0000012,is_a,GO:0006281,DNA repair
GO:0000014,is_a,GO:0004520,DNA endonuclease activity
GO:0000014,is_a,GO:0016788,"hydrolase activity, acting on ester bonds"
GO:0000015,is_a,GO:1902494,catalytic complex
GO:0000015,relationship:part_of,GO:0005829,cytosol
GO:0000016,is_a,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0000017,is_a,GO:0042946,glucoside transport
GO:0000018,is_a,GO:0051052,regulation of DNA metabolic process
GO:0000018,intersection_of,GO:0065007,biological regulation
GO:0000018,intersection_of:regulates,GO:0006310,DNA recombination
GO:0000018,relationship:regulates,GO:0006310,DNA recombination
GO:0000019,is_a,GO:0000018,regulation of DNA recombination
GO:0000019,intersection_of,GO:0065007,biological regulation
GO:0000019,intersection_of:regulates,GO:0006312,mitotic recombination
GO:0000019,relationship:regulates,GO:0006312,mitotic recombination
GO:0000022,is_a,GO:0051231,spindle elongation
GO:0000022,is_a,GO:1903047,mitotic cell cycle process
GO:0000022,intersection_of,GO:0051231,spindle elongation
GO:0000022,intersection_of:part_of,GO:0000278,mitotic cell cycle
GO:0000022,relationship:part_of,GO:0000070,mitotic sister chromatid segregation
GO:0000022,relationship:part_of,GO:0007052,mitotic spindle organization
GO:0000023,is_a,GO:0005984,disaccharide metabolic process
GO:0000024,is_a,GO:0000023,maltose metabolic process
GO:0000024,is_a,GO:0046351,disaccharide biosynthetic process
GO:0000025,is_a,GO:0000023,maltose metabolic process
GO:0000025,is_a,GO:0046352,disaccharide catabolic process
GO:0000026,is_a,GO:0000030,mannosyltransferase activity
GO:0000027,is_a,GO:0022618,protein-RNA complex assembly
GO:0000027,relationship:part_of,GO:0042255,ribosome assembly
GO:0000027,relationship:part_of,GO:0042273,ribosomal large subunit biogenesis
GO:0000028,is_a,GO:0022618,protein-RNA complex assembly
GO:0000028,relationship:part_of,GO:0042255,ribosome assembly
GO:0000028,relationship:part_of,GO:0042274,ribosomal small subunit biogenesis
GO:0000030,is_a,GO:0016758,hexosyltransferase activity
GO:0000031,is_a,GO:0016758,hexosyltransferase activity
GO:0000032,is_a,GO:0006057,mannoprotein biosynthetic process
GO:0000032,is_a,GO:0031506,cell wall glycoprotein biosynthetic process
GO:0000033,is_a,GO:0000030,mannosyltransferase activity
GO:0000034,is_a,GO:0016814,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"
GO:0000034,is_a,GO:0019239,deaminase activity
GO:0000035,is_a,GO:0036094,small molecule binding
GO:0000036,is_a,GO:0044620,ACP phosphopantetheine attachment site binding
GO:0000036,is_a,GO:0140414,phosphopantetheine-dependent carrier activity
GO:0000036,intersection_of,GO:0140414,phosphopantetheine-dependent carrier activity
GO:0000036,intersection_of:part_of,GO:0006633,fatty acid biosynthetic process
GO:0000036,relationship:part_of,GO:0006633,fatty acid biosynthetic process
GO:0000038,is_a,GO:0006631,fatty acid metabolic process
GO:0000041,is_a,GO:0030001,metal ion transport
GO:0000045,is_a,GO:0070925,organelle assembly
GO:0000045,is_a,GO:1905037,autophagosome organization
GO:0000045,relationship:has_part,GO:0019778,Atg12 activating enzyme activity
GO:0000045,relationship:has_part,GO:0019786,protein-phosphatidylethanolamide deconjugating activity
GO:0000045,relationship:has_part,GO:0061651,Atg12 conjugating enzyme activity
GO:0000045,relationship:has_part,GO:0061660,Atg12 ligase activity
GO:0000045,relationship:has_part,GO:1904745,Atg1/ULK1 kinase complex assembly
GO:0000048,is_a,GO:0016755,aminoacyltransferase activity
GO:0000048,is_a,GO:0140096,"catalytic activity, acting on a protein"
GO:0000048,is_a,GO:0140101,"catalytic activity, acting on a tRNA"
GO:0000049,is_a,GO:0003723,RNA binding
GO:0000050,is_a,GO:0019627,urea metabolic process
GO:0000050,is_a,GO:0043604,amide biosynthetic process
GO:0000052,is_a,GO:0170041,non-proteinogenic amino acid metabolic process
GO:0000052,is_a,GO:1901605,alpha-amino acid metabolic process
GO:0000053,is_a,GO:0006575,modified amino acid metabolic process
GO:0000053,is_a,GO:0072350,tricarboxylic acid metabolic process
GO:0000053,is_a,GO:0170033,L-amino acid metabolic process
GO:0000053,is_a,GO:0170041,non-proteinogenic amino acid metabolic process
GO:0000054,is_a,GO:0031503,protein-containing complex localization
GO:0000054,is_a,GO:0033750,ribosome localization
GO:0000054,is_a,GO:0051168,nuclear export
GO:0000054,is_a,GO:0051656,establishment of organelle localization
GO:0000054,relationship:part_of,GO:0042254,ribosome biogenesis
GO:0000055,is_a,GO:0000054,ribosomal subunit export from nucleus
GO:0000056,is_a,GO:0000054,ribosomal subunit export from nucleus
GO:0000062,is_a,GO:0120227,acyl-CoA binding
GO:0000062,is_a,GO:1901567,fatty acid derivative binding
GO:0000064,is_a,GO:0015101,organic cation transmembrane transporter activity
GO:0000064,is_a,GO:0015179,L-amino acid transmembrane transporter activity
GO:0000064,relationship:part_of,GO:1903352,L-ornithine transmembrane transport
GO:0000070,is_a,GO:0000819,sister chromatid segregation
GO:0000070,is_a,GO:1903047,mitotic cell cycle process
GO:0000070,intersection_of,GO:0098813,nuclear chromosome segregation
GO:0000070,intersection_of:part_of,GO:0140014,mitotic nuclear division
GO:0000070,relationship:part_of,GO:0140014,mitotic nuclear division
GO:0000073,is_a,GO:0110100,spindle pole body separation
GO:0000073,is_a,GO:1903047,mitotic cell cycle process
GO:0000073,relationship:part_of,GO:0061804,mitotic spindle formation (spindle phase one)
GO:0000073,relationship:part_of,GO:1905047,mitotic spindle pole body organization
GO:0000075,is_a,GO:0035556,intracellular signal transduction
GO:0000075,is_a,GO:1901988,negative regulation of cell cycle phase transition
GO:0000075,intersection_of,GO:0035556,intracellular signal transduction
GO:0000075,intersection_of:negatively_regulates,GO:0044770,cell cycle phase transition
GO:0000076,is_a,GO:0031570,DNA integrity checkpoint signaling
GO:0000077,is_a,GO:0031570,DNA integrity checkpoint signaling
GO:0000077,is_a,GO:0042770,signal transduction in response to DNA damage
GO:0000079,is_a,GO:0071900,regulation of protein serine/threonine kinase activity
GO:0000079,intersection_of,GO:0065007,biological regulation
GO:0000079,intersection_of:regulates,GO:0004693,cyclin-dependent protein serine/threonine kinase activity
GO:0000079,relationship:regulates,GO:0004693,cyclin-dependent protein serine/threonine kinase activity
GO:0000080,is_a,GO:0051318,G1 phase
GO:0000080,relationship:part_of,GO:0051329,mitotic interphase
GO:0000082,is_a,GO:0044772,mitotic cell cycle phase transition
GO:0000082,is_a,GO:0044843,cell cycle G1/S phase transition
GO:0000082,intersection_of,GO:0044843,cell cycle G1/S phase transition
GO:0000082,intersection_of:part_of,GO:0000278,mitotic cell cycle
GO:0000084,is_a,GO:0051320,S phase
GO:0000084,relationship:part_of,GO:0051329,mitotic interphase
GO:0000085,is_a,GO:0051319,G2 phase
GO:0000085,relationship:part_of,GO:0051329,mitotic interphase
GO:0000086,is_a,GO:0044772,mitotic cell cycle phase transition
