go_id,name,namespace,synonyms,alt_id,is_obsolete,replaced_by,xrefs,subsets,created_by,creation_date,consider,definition,comment,property_value
GO:0000001,mitochondrion inheritance,biological_process,"The distribution of mitochondria, including the mitochondrial genome, into daughter cells after mitosis or meiosis, mediated by interactions between mitochondria and the cytoskeleton.",,False,mitochondrial inheritance,,,,,,,,
GO:0000002,mitochondrial genome maintenance,biological_process,The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome.,,False,,,,,,,,,
GO:0000003,obsolete reproduction,biological_process,OBSOLETE. The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,The reason for obsoletion is that this term is equivalent to reproductive process.,True,reproductive physiological process,,,,,,,,
GO:0000005,obsolete ribosomal chaperone activity,molecular_function,"OBSOLETE. Assists in the correct assembly of ribosomes or ribosomal subunits in vivo, but is not a component of the assembled ribosome when performing its normal biological function.",This term was made obsolete because it refers to a class of gene products and a biological process rather than a molecular function.,True,ribosomal chaperone activity,,,,,,,,
GO:0000006,high-affinity zinc transmembrane transporter activity,molecular_function,"Enables the transfer of zinc ions (Zn2+) from one side of a membrane to the other, probably powered by proton motive force. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.",,False,high affinity zinc uptake transmembrane transporter activity; high-affinity zinc uptake transmembrane transporter activity,,,,,,,,
GO:0000007,low-affinity zinc ion transmembrane transporter activity,molecular_function,"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Zn2+ = Zn2+, probably powered by proton motive force. In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations.",,False,,,,,,,,,
GO:0000008,obsolete thioredoxin,molecular_function,"OBSOLETE. A small disulfide-containing redox protein that serves as a general protein disulfide oxidoreductase. Interacts with a broad range of proteins by a redox mechanism, based on the reversible oxidation of 2 cysteine thiol groups to a disulfide, accompanied by the transfer of 2 electrons and 2 protons. The net result is the covalent interconversion of a disulfide and a dithiol.",This term was made obsolete because it represents gene products.,True,thioredoxin,,,,,,,,
GO:0000009,"alpha-1,6-mannosyltransferase activity",molecular_function,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage.",,False,"1,6-alpha-mannosyltransferase activity","Xref('Reactome:R-HSA-449718', description='Addition of a third mannose to the N-glycan precursor by ALG2')",,,,,,,
GO:0000010,heptaprenyl diphosphate synthase activity,molecular_function,"Catalysis of the reaction: (2E,6E)-farnesyl diphosphate + 4 isopentenyl diphosphate = 4 diphosphate + all-trans-heptaprenyl diphosphate.",,False,trans-hexaprenyltranstransferase activity; heptaprenyl pyrophosphate synthetase activity; all-trans-heptaprenyl-diphosphate synthase activity; HepPP synthase activity; heptaprenyl pyrophosphate synthase activity,Xref('EC:2.5.1.30'); Xref('RHEA:27794'); Xref('MetaCyc:TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN'),,,,,,,
GO:0000011,vacuole inheritance,biological_process,"The distribution of vacuoles into daughter cells after mitosis or meiosis, mediated by interactions between vacuoles and the cytoskeleton.",,False,,,,,,,,,
GO:0000012,single strand break repair,biological_process,The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair.,,False,,,,,,,,,
GO:0000014,single-stranded DNA endodeoxyribonuclease activity,molecular_function,Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.,,False,ssDNA-specific endodeoxyribonuclease activity; single-stranded DNA specific endodeoxyribonuclease activity,,,,,,,,
GO:0000015,phosphopyruvate hydratase complex,cellular_component,"A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water.",,False,enolase complex,,goslim_metagenomics,,,,,,
GO:0000016,lactase activity,molecular_function,Catalysis of the reaction: lactose + H2O = D-glucose + D-galactose.,,False,lactose galactohydrolase activity,"Xref('Reactome:R-HSA-5658001', description='Defective LCT does not hydrolyze Lac'); Xref('EC:3.2.1.108'); Xref('MetaCyc:BETAGALACTOSID-RXN'); Xref('RHEA:10076'); Xref('Reactome:R-HSA-189062', description='lactose + H2O => D-glucose + D-galactose')",,,,,,,
GO:0000017,alpha-glucoside transport,biological_process,"The directed movement of alpha-glucosides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Alpha-glucosides are glycosides in which the sugar group is a glucose residue, and the anomeric carbon of the bond is in an alpha configuration.",,False,,,,,,,,,
GO:0000018,regulation of DNA recombination,biological_process,"Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents.",,False,,,,,,,,,
GO:0000019,regulation of mitotic recombination,biological_process,"Any process that modulates the frequency, rate or extent of DNA recombination during mitosis.",,False,regulation of recombination within rDNA repeats,,,,,,,,
GO:0000020,obsolete negative regulation of recombination within rDNA repeats,biological_process,"OBSOLETE. Any process that stops, prevents, or reduces the frequency, rate or extent of genetic recombination within the DNA of the genes coding for ribosomal RNA.",This term was made obsolete because it describes a substrate-specific process.,True,negative regulation of recombination within rDNA repeats,,,,,,,,
GO:0000022,mitotic spindle elongation,biological_process,The cell cycle process in which the distance is lengthened between poles of the mitotic spindle. Mitotic spindle elongation begins during mitotic prophase and ends during mitotic anaphase B.,,False,microtubule sliding involved in mitotic spindle elongation; spindle elongation during mitosis,,,,,,,,
GO:0000023,maltose metabolic process,biological_process,"The chemical reactions and pathways involving the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose), an intermediate in the catabolism of glycogen and starch.",,False,malt sugar metabolic process; maltose metabolism; malt sugar metabolism,,,,,,,,
GO:0000024,maltose biosynthetic process,biological_process,The chemical reactions and pathways resulting in the formation of the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose).,,False,malt sugar biosynthetic process; maltose formation; malt sugar biosynthesis; maltose anabolism; maltose biosynthesis; maltose synthesis,,,,,,,,
GO:0000025,maltose catabolic process,biological_process,The chemical reactions and pathways resulting in the breakdown of the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose).,,False,maltose breakdown; malt sugar catabolic process; malt sugar catabolism; maltose hydrolysis; maltose degradation,Xref('MetaCyc:MALTOSECAT-PWY'),,,,,,,
GO:0000026,"alpha-1,2-mannosyltransferase activity",molecular_function,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->2) linkage.",,False,,"Xref('Reactome:R-HSA-9035514', description='Defective ALG9 does not add the last mannose to the N-glycan precursor'); Xref('Reactome:R-HSA-446187', description='ALG11 transfers the fourth and fifth Man to the N-glycan precursor'); Xref('Reactome:R-HSA-446216', description='ALG9 transfers Man to N-glycan precursor (GlcNAc)2 (Man)8 (PP-Dol)1'); Xref('Reactome:R-HSA-4720478', description='Defective ALG9 does not add the seventh mannose to the N-glycan precursor'); Xref('Reactome:R-HSA-4551297', description='Defective ALG11 does not transfer Man to the N-glycan precursor'); Xref('Reactome:R-HSA-446215', description='ALG9 transfers Man to N-glycan precursor (GlcNAc)2 (Man)6 (PP-Dol)1')",,,,,,,
GO:0000027,ribosomal large subunit assembly,biological_process,"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit.",,False,50S ribosomal subunit assembly; 60S ribosomal subunit assembly,,,,,,,,
GO:0000028,ribosomal small subunit assembly,biological_process,"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit.",,False,30S ribosomal subunit assembly; 40S ribosomal subunit assembly,,,,,,,,
GO:0000030,mannosyltransferase activity,molecular_function,"Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid.",,False,,"Xref('Reactome:R-HSA-162830', description='glucosaminyl-acyl-PI + dolichol phosphate D-mannose -> mannose(al1-4)glucosaminyl-acyl-PI + dolichol phosphate'); Xref('Reactome:R-HSA-446198', description='ALG12 transfers Man to N-glycan precursor (GlcNAc)2 (Man)7 (PP-Dol)1'); Xref('Reactome:R-HSA-162797', description='mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI -> mannose (a1) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI'); Xref('Reactome:R-HSA-4720497', description='Defective ALG12 does not add mannose to the N-glycan precursor')",,,,,,,
GO:0000031,mannosylphosphate transferase activity,molecular_function,Catalysis of the reaction: GDP-alpha-D-mannose + n {[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]-alpha-D-Man-(1->6)}60-(Man9GlcNAc2-[protein] = phosphorylated {[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]-alpha-D-Man-(1->6)}60-(Man9GlcNAc2-[protein] + n GMP + n H+ or GDP-alpha-D-mannose + alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-3-O-(Ser/Thr)-[protein] = alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-[alpha-D-Man-6P-]-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-3-O-(Ser/Thr)-[protein] + GMP + H+.,,False,,,,,,,,,
GO:0000032,cell wall mannoprotein biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of cell wall mannoproteins, any cell wall protein that contains covalently bound mannose residues.",,False,cell wall mannoprotein biosynthesis; cell wall mannoprotein synthesis; cell wall mannoprotein anabolism; cell wall mannoprotein formation,,,,,,,,
GO:0000033,"alpha-1,3-mannosyltransferase activity",molecular_function,"Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->3) linkage.",,False,,"Xref('Reactome:R-HSA-446188', description='ALG3 transfers Man to N-glycan precursor (GlcNAc)2 (Man)5 (PP-Dol)1'); Xref('Reactome:R-HSA-4549368', description='Defective ALG2 does not transfer a second Man to N-glycan precursor'); Xref('Reactome:R-HSA-446208', description='Addition of a second mannose to the N-glycan precursor by ALG2'); Xref('Reactome:R-HSA-4720473', description='Defective ALG3 does not add mannose to the N-glycan precursor')",,,,,,,
GO:0000034,adenine deaminase activity,molecular_function,Catalysis of the reaction: adenine + H+ + H2O = hypoxanthine + NH4+.,,False,ADase activity; adenine aminase activity; adenase activity; adenine aminohydrolase activity,Xref('EC:3.5.4.2'); Xref('MetaCyc:ADENINE-DEAMINASE-RXN'); Xref('RHEA:23688'),,,,,,,
GO:0000035,acyl binding,molecular_function,"Binding to an acyl group, any group formally derived by removal of the hydroxyl group from the acid function of a carboxylic acid.",,False,acyl-CoA or acyl binding,,,,,,,,
